year,utt_id,session_id,base_primary_status,base_status_family,base_reason_codes_json,recovery_status,recovery_family,recovery_visibility,recovery_outcome_source,recovery_evidence_path,recovery_evidence_sha256,active_annotation_source,active_annotation_revision,active_textgrid_path,active_textgrid_sha256,active_transcript,active_orth_roman_v2,manual_edit_count,annotation_resolution_status,phone_layer_status,phoneme_layer_status,morph_enrichment_status
2023,SDRW2300000164.1.1.286,SDRW2300000164,post_mfa_technical_exclusion,technical_exclusion,"[""mfa_alignment_missing""]",unresolved_technical_exclusion_audio_or_overlap,technical_exclusion,ledger_only,D9,C:\Users\ari30\research\2026_summer_research\outputs\reviews\db_v1_recovery_d9_review_19_20260817\13_2023_SDRW2300000164.1.1.286.TextGrid,9396950f93aa8fcd0b291486b51ddcdab4effc13d43d81cdeb59f172d24484b0,base,,,,,,0,base_preserved_no_curated_pointer,not_adopted,not_applicable_no_curated_pointer,not_applicable_no_curated_pointer
2023,SDRW2300000169.1.1.115,SDRW2300000169,post_mfa_technical_exclusion,technical_exclusion,"[""mfa_alignment_missing""]",curated_manual_word_overlay_pending_phone,curated_recovery,curated_annotation_candidate,D9+D10,D:\mfa_eojeol\recovery\common_pron_mfa_r3_20260809\D10_RESEARCHER_RETURN_0001\normalized\14_2023_SDRW2300000169.1.1.115.manual_overlay.TextGrid,e09c13f786ec00f15c9d3fc5c2eb7391cbbec2071498bf9acf2116248f06aaa8,curated,D10_researcher_return_0001,D:\mfa_eojeol\recovery\common_pron_mfa_r3_20260809\D10_RESEARCHER_RETURN_0001\normalized\14_2023_SDRW2300000169.1.1.115.manual_overlay.TextGrid,e09c13f786ec00f15c9d3fc5c2eb7391cbbec2071498bf9acf2116248f06aaa8,그 여름이다 보니까 인제 보양식 같은 경우 문어 낙지 그런,G EU | YEO _ R EU m _ I _ D A | B O _ N I _ KK A | I n _ J E | B O _ YA ng _ S I k | G A th _ EU n | G YEO ng _ U | M U n _ EO | N A k _ J I | G EU _ R EO n,1,curated_pointer_applied,d9_reference_only_not_adopted,pending_curated_alignment,pending_rebuild_from_curated_transcript
2023,SDRW2300000182.1.1.79,SDRW2300000182,post_mfa_technical_exclusion,technical_exclusion,"[""mfa_feature_generation_failed""]",unresolved_technical_exclusion_source_fragment_too_short,technical_exclusion,ledger_only,D8,D:\20_AUDIO\03_wav\individual\2023\SDRW2300000182\SDRW2300000182.1.1.79.wav,3b8ffa1915d11b23405668a81d8e27bef5a78bdd358c9faeac187e74113f5cd0,base,,,,,,0,base_preserved_no_curated_pointer,not_available,not_applicable_no_curated_pointer,not_applicable_no_curated_pointer
2023,SDRW2300000219.1.1.194,SDRW2300000219,post_mfa_technical_exclusion,technical_exclusion,"[""mfa_alignment_missing""]",curated_manual_word_overlay_pending_phone,curated_recovery,curated_annotation_candidate,D9+D10,D:\mfa_eojeol\recovery\common_pron_mfa_r3_20260809\D10_RESEARCHER_RETURN_0001\normalized\15_2023_SDRW2300000219.1.1.194.manual_overlay.TextGrid,648119bcc7daf308b47f4e2a0cd9ff1ac146e4cbea45a069046b44439e90e4e7,curated,D10_researcher_return_0001,D:\mfa_eojeol\recovery\common_pron_mfa_r3_20260809\D10_RESEARCHER_RETURN_0001\normalized\15_2023_SDRW2300000219.1.1.194.manual_overlay.TextGrid,648119bcc7daf308b47f4e2a0cd9ff1ac146e4cbea45a069046b44439e90e4e7,뭐 다 뭐 재산 같은 것은 자식들한테 놔두고 그게,M WO | D A | M WO | J AE _ S A n | G A th _ EU n | G EO s _ EU n | J A _ S I k _ D EU l _ H A n _ T E | N WA _ D U _ G O | G EU _ G E,1,curated_pointer_applied,d9_reference_only_not_adopted,pending_curated_alignment,pending_rebuild_from_curated_transcript
2024,SARW2400000020.1.1.11,SARW2400000020,post_mfa_technical_exclusion,technical_exclusion,"[""mfa_alignment_missing""]",curated_manual_word_overlay_pending_phone,curated_recovery,curated_annotation_candidate,D9+D10,D:\mfa_eojeol\recovery\common_pron_mfa_r3_20260809\D10_RESEARCHER_RETURN_0001\normalized\16_2024_SARW2400000020.1.1.11.manual_overlay.TextGrid,dd478a1fc1ac86c3ffc40fa807489f25b9284a397e3ad0329076a84871ea7831,curated,D10_researcher_return_0001,D:\mfa_eojeol\recovery\common_pron_mfa_r3_20260809\D10_RESEARCHER_RETURN_0001\normalized\16_2024_SARW2400000020.1.1.11.manual_overlay.TextGrid,dd478a1fc1ac86c3ffc40fa807489f25b9284a397e3ad0329076a84871ea7831,구십 년대 시카고 불쓰가 황금기를 보내는데,G U _ S I p | N YEO n _ D AE | S I _ K A _ G O | B U l _ SS EU _ G A | H WA ng _ G EU m _ G I _ R EU l | B O _ N AE _ N EU n _ D E,1,curated_pointer_applied,d9_reference_only_not_adopted,pending_curated_alignment,pending_rebuild_from_curated_transcript
2024,SARW2400000033.1.1.16,SARW2400000033,post_mfa_technical_exclusion,technical_exclusion,"[""mfa_alignment_missing""]",curated_manual_word_overlay_pending_phone,curated_recovery,curated_annotation_candidate,D9+D10,D:\mfa_eojeol\recovery\common_pron_mfa_r3_20260809\D10_RESEARCHER_RETURN_0001\normalized\17_2024_SARW2400000033.1.1.16.manual_overlay.TextGrid,e8f5ca7ee4dea29e6aad5b89bbcf84c8d88ea8fa09454e614429b04a2fcb5f27,curated,D10_researcher_return_0001,D:\mfa_eojeol\recovery\common_pron_mfa_r3_20260809\D10_RESEARCHER_RETURN_0001\normalized\17_2024_SARW2400000033.1.1.16.manual_overlay.TextGrid,e8f5ca7ee4dea29e6aad5b89bbcf84c8d88ea8fa09454e614429b04a2fcb5f27,특히 분당은 그야말로 살기 좋은 신도시의 대표격이었는데,T EU k _ H I | B U n _ D A ng _ EU n | G EU _ YA _ M A l _ R O | S A l _ G I | J O h _ EU n | S I n _ D O _ S I _ UI | D AE _ P YO _ G YEO k _ I _ EO ss _ N EU n _ D E,1,curated_pointer_applied,d9_reference_only_not_adopted,pending_curated_alignment,pending_rebuild_from_curated_transcript
2024,SARW2400000064.1.1.1,SARW2400000064,post_mfa_technical_exclusion,technical_exclusion,"[""mfa_alignment_missing""]",excluded_partial_alignment_preserved,partial_preserved,recovery_reference,D7,C:\Users\ari30\research\2026_summer_research\outputs\reviews\db_v1_recovery_d6_20260815\06_2024_SARW2400000064.1.1.1.TextGrid,0bd0f8583b425708ccaf7f43d052d37ab5b2ba63cd343f66302020596169b379,base,,,,,,0,base_preserved_no_curated_pointer,diagnostic_reference_only,not_applicable_no_curated_pointer,not_applicable_no_curated_pointer
2024,SARW2400000065.1.1.165,SARW2400000065,post_mfa_technical_exclusion,technical_exclusion,"[""mfa_alignment_missing""]",excluded_partial_alignment_preserved,partial_preserved,recovery_reference,D7,C:\Users\ari30\research\2026_summer_research\outputs\reviews\db_v1_recovery_d6_20260815\07_2024_SARW2400000065.1.1.165.TextGrid,9b2f530c7ab2963e18c0f4e4929f910cd9b903638f37b91c077c344d3deb780a,base,,,,,,0,base_preserved_no_curated_pointer,diagnostic_reference_only,not_applicable_no_curated_pointer,not_applicable_no_curated_pointer
2024,SARW2400000095.1.1.98,SARW2400000095,post_mfa_technical_exclusion,technical_exclusion,"[""mfa_alignment_missing""]",curated_manual_word_overlay_pending_phone,curated_recovery,curated_annotation_candidate,D9+D10,D:\mfa_eojeol\recovery\common_pron_mfa_r3_20260809\D10_RESEARCHER_RETURN_0001\normalized\18_2024_SARW2400000095.1.1.98.manual_overlay.TextGrid,c343dedb08a2b2af996fca43318c23ba5edca15106d1efa2bd12ba335301a04d,curated,D10_researcher_return_0001,D:\mfa_eojeol\recovery\common_pron_mfa_r3_20260809\D10_RESEARCHER_RETURN_0001\normalized\18_2024_SARW2400000095.1.1.98.manual_overlay.TextGrid,c343dedb08a2b2af996fca43318c23ba5edca15106d1efa2bd12ba335301a04d,아 아무튼 저는 중반까지만 해도 이 왕위보의 이 실력에 깜짝 놀랐는데,A | A _ M U _ T EU n | J EO _ N EU n | J U ng _ B A n _ KK A _ J I _ M A n | H AE _ D O | I | WA ng _ WI _ B O _ UI | I | S I l _ R YEO k _ E | KK A m _ JJ A k | N O l _ R A ss _ N EU n _ D E,1,curated_pointer_applied,d9_reference_only_not_adopted,pending_curated_alignment,pending_rebuild_from_curated_transcript
2025,SARW2500000012.1.1.97,SARW2500000012,post_mfa_technical_exclusion,technical_exclusion,"[""mfa_alignment_missing""]",recovered_d9_alignment_pending_six_tier_enrichment,recovered_alignment,alignment_candidate,D9,C:\Users\ari30\research\2026_summer_research\outputs\reviews\db_v1_recovery_d9_review_19_20260817\19_2025_SARW2500000012.1.1.97.TextGrid,3a4bb6c17d9e6601568998257309beb8d9a1f99967cbebbe7e8719bc478fea1d,base,,,,,,0,base_preserved_no_curated_pointer,d9_alignment_candidate,not_applicable_no_curated_pointer,not_applicable_no_curated_pointer
2025,SARW2500000015.1.1.18,SARW2500000015,post_mfa_technical_exclusion,technical_exclusion,"[""mfa_alignment_missing""]",excluded_partial_alignment_preserved,partial_preserved,recovery_reference,D7,C:\Users\ari30\research\2026_summer_research\outputs\reviews\db_v1_recovery_d6_20260815\08_2025_SARW2500000015.1.1.18.TextGrid,218856057dca59852fec634e2ac76a640ba8fdb9d04c99cb207adb03cdf4d80c,base,,,,,,0,base_preserved_no_curated_pointer,diagnostic_reference_only,not_applicable_no_curated_pointer,not_applicable_no_curated_pointer
2025,SARW2500000024.1.1.91,SARW2500000024,post_mfa_technical_exclusion,technical_exclusion,"[""mfa_alignment_missing""]",excluded_partial_alignment_preserved,partial_preserved,recovery_reference,D7,C:\Users\ari30\research\2026_summer_research\outputs\reviews\db_v1_recovery_d6_20260815\09_2025_SARW2500000024.1.1.91.TextGrid,2729456ed88d91b586adc7e73f8ae7e2005ee2989ae5f47132c2bada7bf2e10c,base,,,,,,0,base_preserved_no_curated_pointer,diagnostic_reference_only,not_applicable_no_curated_pointer,not_applicable_no_curated_pointer
2025,SARW2500000058.1.1.55,SARW2500000058,post_mfa_technical_exclusion,technical_exclusion,"[""mfa_alignment_missing""]",excluded_partial_alignment_preserved,partial_preserved,recovery_reference,D7,C:\Users\ari30\research\2026_summer_research\outputs\reviews\db_v1_recovery_d6_20260815\10_2025_SARW2500000058.1.1.55.TextGrid,b6fe3f21316b11ba19047566cefab81f254106b2aece1b9a836204bfb6a2b264,base,,,,,,0,base_preserved_no_curated_pointer,diagnostic_reference_only,not_applicable_no_curated_pointer,not_applicable_no_curated_pointer
2025,SARW2500000083.1.1.79,SARW2500000083,post_mfa_technical_exclusion,technical_exclusion,"[""mfa_alignment_missing""]",excluded_partial_alignment_preserved,partial_preserved,recovery_reference,D7,C:\Users\ari30\research\2026_summer_research\outputs\reviews\db_v1_recovery_d6_20260815\11_2025_SARW2500000083.1.1.79.TextGrid,7833eb7f305fd6cbd93cf43ce3f06ebbcb5c4c37743fbadf2deb97763caa0cf5,base,,,,,,0,base_preserved_no_curated_pointer,diagnostic_reference_only,not_applicable_no_curated_pointer,not_applicable_no_curated_pointer
