sample_reason,token,target_hangul,total_occurrences,count_2020,count_2021,count_2022,count_2023,count_2024,count_2025,rule_pron_hangul,rule_pron_roman,g2p_candidate_phones,g2p_candidate_roman,comparison_status,comparison_edit_distance,target_gate_class,source_gate_class,surface_rule_names,dictionary_pron_hangul_json,dictionary_pron_roman_json,dictionary_source_refs_json,original_selection_status,original_selection_reason,morph_context_required,candidate_is_final_selection
high_frequency:mismatch_not_eligible,있지,읻찌,15937,1033,5512,3467,1570,2837,1518,읻찌,I t _ JJ I,iː tɕ͈ː tɕ͈ i,I JJ JJ I,different_rule_roman,1,mismatch_not_eligible,mismatch_not_eligible,neutralize|fortis,[],[],[],review_rule_sensitive_no_attested_agreement,surface-rule target differs from r2 without independent dictionary agreement,true,false
high_frequency:mismatch_not_eligible,하면은,하며는,15722,1482,4014,2498,2192,2835,2701,하며는,H A _ M YEO _ N EU n,h ɐ mʲ ʌ n ɨ n,H A M EO N EU N,different_rule_roman,1,mismatch_not_eligible,mismatch_not_eligible,liaison,[],[],[],review_rule_sensitive_no_attested_agreement,surface-rule target differs from r2 without independent dictionary agreement,true,false
high_frequency:mismatch_not_eligible,않고,안코,15624,2020,3196,1974,2252,2987,3195,안코,A n _ K O,ɐ ŋ kʰ o,A NG K O,different_rule_roman,1,mismatch_not_eligible,mismatch_not_eligible,aspiration,[],[],[],review_rule_sensitive_no_attested_agreement,surface-rule target differs from r2 without independent dictionary agreement,true,false
high_frequency:mismatch_not_eligible,없고,업꼬,14908,1770,3408,2137,2125,2891,2577,업꼬,EO p _ KK O,ʌ m k͈ o,EO M KK O,different_rule_roman,1,mismatch_not_eligible,mismatch_not_eligible,cluster|fortis,[],[],[],review_rule_sensitive_no_attested_agreement,surface-rule target differs from r2 without independent dictionary agreement,true,false
high_frequency:mismatch_not_eligible,있으면,이쓰면,14308,1400,3593,2477,1900,2688,2250,이쓰면,I _ SS EU _ M YEO n,iː s͈ ɨ mʲ ʌ n,I SS EU M EO N,different_rule_roman,1,mismatch_not_eligible,mismatch_not_eligible,liaison,[],[],[],review_rule_sensitive_no_attested_agreement,surface-rule target differs from r2 without independent dictionary agreement,true,false
high_frequency:mismatch_not_eligible,봤는데,봔는데,14176,1028,3183,2621,1991,2971,2382,봔는데,B WA n _ N EU n _ D E,pʷ ɐ nː ɨ n d e,B A N EU N D E,different_rule_roman,2,mismatch_not_eligible,mismatch_not_eligible,neutralize|nasal_assim,[],[],[],review_rule_sensitive_no_attested_agreement,surface-rule target differs from r2 without independent dictionary agreement,true,false
high_frequency:mismatch_not_eligible,원래,월래,13703,1366,4130,2835,1687,2138,1547,월래,WO l _ R AE,w ʌ ɭː ɛː,W EO l AE,different_rule_roman,1,mismatch_not_eligible,mismatch_not_eligible,nasal_assim,"[""월ː래"", ""월래""]","[""WO l _ R AE""]","[""NIKL_lexicon_full_v2:pron_1""]",candidate_replace_rule_dictionary_agree,"surface rule and dictionary evidence agree, but r2 phones differ",true,false
high_frequency:mismatch_not_eligible,있다고,읻따고,13647,1480,4092,1821,1464,2706,2084,읻따고,I t _ TT A _ G O,iː tɕ͈ː t͈ ɐ ɡ o,I JJ TT A G O,different_rule_roman,1,mismatch_not_eligible,mismatch_not_eligible,neutralize|fortis,[],[],[],review_rule_sensitive_no_attested_agreement,surface-rule target differs from r2 without independent dictionary agreement,true,false
high_frequency:mismatch_not_eligible,맞는,만는,11726,1170,3291,1882,1512,2632,1239,만는,M A n _ N EU n,m ɐ nː ɨ n,M A N EU N,different_rule_roman,1,mismatch_not_eligible,mismatch_not_eligible,neutralize|nasal_assim,[],[],[],review_rule_sensitive_no_attested_agreement,surface-rule target differs from r2 without independent dictionary agreement,true,false
high_frequency:mismatch_not_eligible,있다,읻따,11098,1035,2656,1731,1521,1993,2162,읻따,I t _ TT A,iː tɕ͈ː t͈ ɐ,I JJ TT A,different_rule_roman,1,mismatch_not_eligible,mismatch_not_eligible,neutralize|fortis,"[""읻따""]","[""I t _ TT A""]","[""NIKL_lexicon_full_legacy:pron_g2p"", ""NIKL_lexicon_full_v2:pron_1""]",candidate_replace_rule_dictionary_agree,"surface rule and dictionary evidence agree, but r2 phones differ",true,false
high_frequency:mismatch_not_eligible,확실히,확씰히,11033,566,3509,2293,1319,1908,1438,확씰히,H WA k _ SS I l _ H I,ɸʷ ɐ k̚ ɕ͈ i ɾ ʝ i,H A k SS I R H I,different_rule_roman,1,mismatch_not_eligible,mismatch_not_eligible,fortis,"[""확씰히""]","[""H WA k _ SS I l _ H I""]","[""NIKL_lexicon_full_v2:pron_1""]",candidate_replace_rule_dictionary_agree,"surface rule and dictionary evidence agree, but r2 phones differ",true,false
high_frequency:mismatch_not_eligible,아니면은,아니며는,10975,1152,2364,1681,1675,2102,2001,아니며는,A _ N I _ M YEO _ N EU n,ɐ ɲ i mʲ ʌ n ɨ n,A N I M EO N EU N,different_rule_roman,1,mismatch_not_eligible,mismatch_not_eligible,liaison,[],[],[],review_rule_sensitive_no_attested_agreement,surface-rule target differs from r2 without independent dictionary agreement,true,false
known_regression_example,놨던,놛떤,196,6,43,25,23,41,58,놛떤,N WA t _ TT EO n,n w ɐ d t͈ ʌ n,N W A D TT EO N,exact_rule_roman,0,hold_exact_source_evidence_review,hold_exact_no_attested_agreement,neutralize|fortis,[],[],[],review_rule_sensitive_no_attested_agreement,surface-rule target differs from r2 without independent dictionary agreement,true,false
